batting_team,game_date,inning_num,score_diff,launch_angle,launch_speed,batted_ball_type,scoring_window,estimated_runner_delay,runner_behavior,total_play_time,runner_time_from_2b,runner_speed,fielder_arm_strength,des
SEA,2024-06-30,5,-2,44,101.8,fly_ball,3.826131481979405,6.448728652910358,tagged,10.492798148646072,6.666666666666667,27.0,87.2,Cal Raleigh singles on a sharp fly ball to right fielder Max Kepler. Josh Rojas to 3rd. Julio Rodríguez to 2nd.
AZ,2024-09-14,8,-8,66,91.8,high_fly,3.749453254404795,7.0,tagged,10.567635072586613,6.818181818181818,26.4,,Adrian Del Castillo singles on a fly ball to left fielder Isaac Collins. Jake McCarthy scores. Pavin Smith to 3rd. Randal Grichuk to 2nd.
MIL,2024-06-29,3,-1,56,75.8,high_fly,3.310893489340452,5.73057856750911,tagged,9.454238199238063,6.143344709897611,29.3,93.0,William Contreras singles on a fly ball to center fielder Pete Crow-Armstrong. Andruw Monasterio scores.
CHC,2024-08-22,3,4,62,85.8,high_fly,3.225444162584206,6.908396679711762,tagged,9.563472331598291,6.338028169014085,28.4,,Michael Busch singles on a fly ball to third baseman Jace Jung. Cody Bellinger to 3rd. Seiya Suzuki to 2nd.
CIN,2024-05-05,9,-11,47,78.7,fly_ball,3.180250245134852,5.248766443567348,tagged,9.430250245134852,6.25,28.8,,"Spencer Steer singles on a fly ball to second baseman Jordan Westburg, deflected by center fielder Ryan McKenna. Will Benson to 3rd. Elly De La Cruz to 2nd."
MIA,2024-04-21,5,1,36,97.3,fly_ball,2.9286604572769086,3.129232469901183,halfway,9.670233490984774,6.741573033707866,26.7,87.9,Bryan De La Cruz singles on a fly ball to center fielder Cody Bellinger. Luis Arraez to 3rd.
LAA,2024-05-19,7,-1,53,70.9,high_fly,2.8998827533448814,5.163568035722755,tagged,9.149882753344881,6.25,28.8,83.8,Mickey Moniak singles on a fly ball to left fielder Evan Carter. Willie Calhoun scores. Jo Adell to 3rd. Zach Neto to 2nd.
DET,2024-09-08,9,8,58,81.8,high_fly,2.7175169904360192,6.325994925569019,tagged,9.123210940613955,6.405693950177936,28.1,,"Parker Meadows singles on a fly ball to left fielder Seth Brown, deflected by third baseman Max Schuemann. Trey Sweeney to 3rd. Jake Rogers to 2nd."
TOR,2024-09-13,11,0,30,98.1,fly_ball,2.6248832453658526,2.683770124945608,halfway,9.053454673937281,6.428571428571429,28.0,85.3,Alejandro Kirk singles on a fly ball to left fielder Brendan Donovan. Vladimir Guerrero Jr. scores. Leo Jiménez to 3rd. Will Wagner to 2nd.
CWS,2024-04-14,7,-8,28,100.1,fly_ball,2.586159026359124,2.571281770583112,halfway,9.22822544702333,6.642066420664206,27.1,85.7,"Andrew Benintendi singles on a sharp fly ball to left fielder Spencer Steer, deflected by center fielder Will Benson. Paul DeJong scores. Nicky Lopez to 3rd. Robbie Grossman to 2nd."
SD,2024-05-19,4,3,50,68.7,high_fly,2.3863500307094165,4.799165817518223,tagged,8.746774058977968,6.360424028268551,28.3,89.2,Luis Arraez singles on a fly ball to left fielder Jarred Kelenic.
NYM,2024-09-18,4,4,41,78.6,fly_ball,2.318758034323425,4.702410244830313,tagged,8.70173675772768,6.382978723404255,28.2,89.6,Jose Iglesias singles on a fly ball to right fielder Dylan Crews. Harrison Bader to 3rd. Luisangel Acuña to 2nd.
MIL,2024-08-06,8,10,28,103.3,fly_ball,2.2927498506615027,2.653480588423931,halfway,9.110931668843321,6.818181818181818,26.4,89.2,"Brewers challenged (catch or drop), call on the field was overturned: Willy Adames singles on a fly ball to center fielder Jarred Kelenic. William Contreras to 3rd."
SD,2024-06-21,7,1,45,73.2,fly_ball,2.2632490247406345,4.720099299661136,tagged,8.76144397058901,6.498194945848375,27.7,83.5,Jackson Merrill singles on a fly ball to left fielder Christian Yelich. Jake Cronenworth to 3rd. Manny Machado to 2nd.
LAD,2024-04-05,1,0,29,93.7,fly_ball,2.230090573374559,2.4855192005541986,halfway,8.635784523552495,6.405693950177936,28.1,84.7,Will Smith singles on a fly ball to left fielder Ian Happ.   Shohei Ohtani to 3rd.    Freddie Freeman to 2nd.
PHI,2024-05-24,10,0,43,71.4,fly_ball,2.2230136799422127,4.440548258016681,tagged,8.40858069025149,6.185567010309278,29.1,97.4,Kody Clemens singles on a fly ball to center fielder Brenton Doyle. Bryson Stott to 3rd. Whit Merrifield to 2nd.
HOU,2024-09-21,2,0,37,70.7,fly_ball,2.1606919006937924,2.3280309035155846,halfway,8.389065603115938,6.228373702422146,28.9,83.6,Jose Altuve singles on a fly ball to center fielder Mickey Moniak. Victor Caratini scores. Jake Meyers to 3rd. Mauricio Dubón to 2nd.
CHC,2024-08-22,2,0,40,69.5,fly_ball,2.1190910975378072,4.07387175526858,tagged,8.479515125806358,6.360424028268551,28.3,85.0,Dansby Swanson singles on a fly ball to center fielder Matt Vierling. Seiya Suzuki to 3rd. Nico Hoerner to 2nd.
CIN,2024-08-08,10,5,40,77.3,fly_ball,2.1043826440911175,4.53108326161527,tagged,8.673725709784549,6.569343065693431,27.4,,Noelvi Marte singles on a fly ball to left fielder David Hensley. Spencer Steer scores. Jeimer Candelario to 3rd. Jake Fraley to 2nd.
