batting_team,game_date,inning_num,score_diff,launch_angle,launch_speed,batted_ball_type,scoring_window,estimated_runner_delay,runner_behavior,total_play_time,runner_time_from_2b,runner_speed,fielder_arm_strength,des
AZ,2024-09-15,10,0,31,100.5,fly_ball,3.205905051130717,2.8321203213993216,halfway,9.286986132211798,6.081081081081081,29.6,87.2,Eugenio Suárez singles on a sharp fly ball to right fielder Sal Frelick. Ketel Marte scores. Corbin Carroll to 3rd. Christian Walker to 2nd.
PHI,2024-04-13,9,0,20,104.6,line_drive,2.149048287360639,1.2,halfway,8.23012936844172,6.081081081081081,29.6,86.7,Nick Castellanos singles on a sharp line drive to center fielder Jack Suwinski. Whit Merrifield scores. Trea Turner to 3rd. Alec Bohm to 2nd.
BAL,2024-05-23,3,-1,22,105.3,line_drive,2.0247600398807046,0.6,halfway,8.044826929512812,6.0200668896321075,29.9,88.4,Adley Rutschman singles on a sharp line drive to right fielder Tommy Pham. Cedric Mullins scores. Jorge Mateo to 3rd. Gunnar Henderson to 2nd.
CWS,2024-09-11,3,-5,24,95.4,line_drive,1.9528689400811476,0.6,halfway,8.268658413765358,6.315789473684211,28.5,88.3,Bryan Ramos singles on a line drive to right fielder Jhonkensy Noel. Corey Julks to 3rd. Luis Robert Jr. to 2nd.
ATH,2024-09-06,4,0,22,103.5,line_drive,1.891126635818975,1.2,halfway,8.412865766253757,6.521739130434782,27.6,87.5,"JJ Bleday singles on a sharp line drive to right fielder Kerry Carpenter, deflected by center fielder Parker Meadows. Brent Rooker out at 2nd on the throw, right fielder Kerry Carpenter to shortstop Trey Sweeney. Lawrence Butler to 3rd. JJ Bleday to 2nd."
TOR,2024-06-16,5,0,24,107.2,line_drive,1.8326783356689829,0.6,halfway,8.975535478526126,7.142857142857143,25.2,86.3,Vladimir Guerrero Jr. singles on a line drive to left fielder Steven Kwan. Spencer Horwitz to 3rd. Davis Schneider to 2nd.
BOS,2024-08-11,6,-9,22,84.1,line_drive,1.5499885513214915,0.6,halfway,7.631069632402572,6.081081081081081,29.6,84.7,Masataka Yoshida singles on a line drive to center fielder Jake Meyers. David Hamilton scores. Jarren Duran to 3rd. Wilyer Abreu to 2nd.
PHI,2024-09-19,7,-6,21,104.1,line_drive,1.542857069997611,0.6,halfway,7.880885239011696,6.338028169014085,28.4,90.8,Brandon Marsh singles on a sharp line drive to right fielder Tyrone Taylor. J.T. Realmuto to 3rd.
COL,2024-07-01,10,0,18,94.3,line_drive,1.4546893365383768,0.6,halfway,7.598034046435988,6.143344709897611,29.3,89.7,Jake Cave singles on a line drive to center fielder Garrett Mitchell. Aaron Schunk scores. Brenton Doyle to 3rd. Nolan Jones to 2nd.
PIT,2024-08-14,9,-7,24,82.7,line_drive,1.3863977237530065,0.6,halfway,7.702187197437217,6.315789473684211,28.5,83.2,Isiah Kiner-Falefa singles on a line drive to right fielder David Peralta. Bryan De La Cruz scores. Michael A. Taylor to 3rd. Yasmani Grandal to 2nd.
TB,2024-05-17,7,3,19,83.0,line_drive,1.2908367148268791,0.6,halfway,7.331105171202718,6.040268456375839,29.8,83.7,Yandy Díaz singles on a line drive to center fielder Daulton Varsho. Ben Rortvedt scores. Jonny DeLuca to 3rd.
CLE,2024-06-27,6,1,21,81.8,line_drive,1.2562668297361865,0.6,halfway,7.484640532158332,6.228373702422146,28.9,84.1,Gabriel Arias singles on a line drive to center fielder Kyle Isbel. Andrés Giménez to 3rd.
MIL,2024-09-14,6,12,14,102.7,line_drive,1.2316897095365054,0.4,hesitated,7.333384624790742,6.101694915254237,29.5,80.3,Jake Bauers singles on a sharp line drive to center fielder Jake McCarthy. Garrett Mitchell to 3rd. Willy Adames to 2nd.
BOS,2024-08-12,10,0,21,97.6,line_drive,1.1613982767578843,0.6,halfway,7.828064943424551,6.666666666666667,,91.3,Rob Refsnyder singles on a line drive to center fielder Leody Taveras. Ceddanne Rafaela scores. Mickey Gasper to 3rd. Masataka Yoshida to 2nd.
CIN,2024-05-05,9,-11,15,96.0,line_drive,1.1571703472067103,0.6,halfway,7.15717034720671,6.0,30.0,,Jake Fraley singles on a line drive to center fielder Ryan McKenna. Will Benson scores. Elly De La Cruz to 3rd. Spencer Steer to 2nd.
SF,2024-06-10,10,0,21,103.5,line_drive,1.1515547893534954,0.6,halfway,7.995661253231822,6.844106463878327,26.3,84.6,Austin Slater singles on a sharp line drive to left fielder Joey Loperfido. Patrick Bailey scores. Michael Conforto to 3rd. Jorge Soler to 2nd.
