batting_team,total_plays,was_sent,was_held,missed_opportunity,runner_hesitation,correct_hold,correct_send_scored,bad_send_out,true_miss_rate,hesitation_rate,bad_send_rate
TB,151,105,46,4,5,37,104,1,8.695652173913043,10.869565217391305,0.9523809523809524
COL,146,89,57,4,11,42,87,2,7.017543859649122,19.298245614035086,2.247191011235955
BAL,157,97,60,3,11,46,95,2,5.0,18.333333333333332,2.0618556701030926
BOS,160,107,53,3,4,46,105,2,5.660377358490567,7.547169811320755,1.8691588785046727
SF,143,91,52,3,6,43,90,1,5.769230769230769,11.538461538461538,1.098901098901099
SEA,150,92,58,3,9,46,89,3,5.172413793103448,15.517241379310345,3.260869565217391
MIA,178,101,77,2,9,66,99,2,2.5974025974025974,11.688311688311687,1.9801980198019802
CHC,161,98,63,2,12,49,92,6,3.1746031746031744,19.047619047619047,6.122448979591836
CIN,152,105,47,2,13,32,101,4,4.25531914893617,27.659574468085108,3.8095238095238098
CWS,139,90,49,2,3,44,89,1,4.081632653061225,6.122448979591836,1.1111111111111112
KC,175,121,54,2,4,48,118,3,3.7037037037037033,7.4074074074074066,2.479338842975207
PIT,168,114,54,2,3,49,112,2,3.7037037037037033,5.555555555555555,1.7543859649122806
PHI,199,122,77,2,12,63,119,3,2.5974025974025974,15.584415584415584,2.459016393442623
MIL,199,114,85,1,11,73,110,4,1.1764705882352942,12.941176470588237,3.508771929824561
TOR,167,99,68,1,10,57,96,3,1.4705882352941175,14.705882352941178,3.0303030303030303
ATH,129,74,55,1,7,47,70,4,1.8181818181818181,12.727272727272727,5.405405405405405
LAA,139,87,52,1,10,41,82,5,1.9230769230769231,19.230769230769234,5.747126436781609
CLE,162,103,59,1,5,53,100,3,1.694915254237288,8.47457627118644,2.912621359223301
AZ,198,132,66,1,4,61,131,1,1.5151515151515151,6.0606060606060606,0.7575757575757576
ATL,156,93,63,0,6,57,91,2,0.0,9.523809523809524,2.1505376344086025
MIN,162,102,60,0,4,56,97,5,0.0,6.666666666666667,4.901960784313726
NYM,170,102,68,0,8,60,99,3,0.0,11.76470588235294,2.941176470588235
NYY,159,90,69,0,9,60,85,5,0.0,13.043478260869565,5.555555555555555
LAD,184,136,48,0,10,38,133,3,0.0,20.833333333333336,2.2058823529411766
SD,168,98,70,0,8,62,96,2,0.0,11.428571428571429,2.0408163265306123
HOU,184,104,80,0,5,75,101,3,0.0,6.25,2.8846153846153846
DET,123,92,31,0,3,28,89,3,0.0,9.67741935483871,3.260869565217391
STL,149,100,49,0,8,41,98,2,0.0,16.3265306122449,2.0
TEX,183,113,70,0,9,61,110,3,0.0,12.857142857142856,2.6548672566371683
WSH,170,122,48,0,4,44,117,5,0.0,8.333333333333332,4.098360655737705
