WP_delta,WP_send,WP_hold,run_value_wp,p_score_if_sent,delta_EV,scoring_window,had_scoring_opportunity,runner_behavior,coach_decision_quality,outs_when_up,event_type,base_state_pre,launch_speed,launch_angle,batted_ball_type,hit_location,hang_time,throw_distance_from_fielding,throw_time,runner_speed,fielder_arm_strength,batting_team,inning_num,inning_topbot,score_diff,des,video_link
-0.3432410819787539,0.37051891802124615,0.7137600000000001,0.45576000000000005,0.9778539851803243,0.031102879993437638,-0.6952883671902104,False,on_contact,bad_send,0,single,2B,98.4,-16,ground_ball,8,2.1216294269536107,191.6289565887321,2.776488799262772,27.3,93.5,TOR,10,Bot,-1,Jonatan Clase singles on a ground ball to center fielder Jackson Merrill. Nathan Lukes scores.,https://baseballsavant.mlb.com/sporty-videos?playId=de779824-ea93-3297-a361-9f07cd92b4c8
-0.31856779400956603,0.39519220599043403,0.7137600000000001,0.45576000000000005,0.9718478689723732,0.022994623112703616,-0.4938529762190038,False,hesitated,bad_send,0,single,2B,108.5,10,line_drive,8,1.6128292858302795,230.5926094203485,3.121691440372863,28.9,93.3,TEX,9,Bot,-1,Corey Seager singles on a sharp line drive to center fielder Angel Martínez. Wyatt Langford scores. Corey Seager to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=7932c0ae-1570-3fbd-87cc-93964219f62e
-0.3043305262441691,0.40942947375583094,0.7137600000000001,0.45576000000000005,0.9866956128483995,0.043039077345339294,-0.38216840138746466,False,on_contact,bad_send,0,single,2B,102.6,9,ground_ball,9,1.8316476763364273,228.58651103375476,3.2843788681244837,27.7,85.6,PHI,11,Bot,-1,J.T. Realmuto singles on a sharp line drive to right fielder Kyle Tucker. Nick Castellanos scores.,https://baseballsavant.mlb.com/sporty-videos?playId=c7ca6f87-7985-3887-bc4a-4efedad1e57e
-0.25424425375247534,0.2475557462475247,0.5018,0.45576000000000005,0.8799780162456218,0.21357153103808013,-0.9431593364836512,False,hesitated,bad_send,1,single,2B,97.3,11,line_drive,7,1.5594611726217218,199.29121840697553,2.9955744367430017,27.7,86.0,MIL,10,Bot,-1,"Jackson Chourio singles on a line drive to left fielder Heston Kjerstad. Isaac Collins scores. Jackson Chourio out at 2nd on the throw, left fielder Heston Kjerstad to third baseman Ramón Urías to second baseman Jackson Holliday.",https://baseballsavant.mlb.com/sporty-videos?playId=16e00f5e-0e3a-38bd-ae14-9b6f6432f06e
-0.24278961633886742,0.16945038366113263,0.41224000000000005,0.047799999999999995,0.9464650793650794,-0.011272142857142953,-0.4332822331663886,False,hesitated,bad_send,0,single,2B-3B,101.4,14,line_drive,7,1.7770289636802135,229.52465808410062,3.31142793358818,27.6,84.9,CLE,9,Bot,-3,Brayan Rocchio singles on a sharp line drive to left fielder Austin Martin. Nolan Jones scores. C.J. Kayfus scores.,https://baseballsavant.mlb.com/sporty-videos?playId=26ba53ef-5a58-3104-b0e8-2f5e4faa102c
-0.23023032051185083,0.48352967948814923,0.7137600000000001,0.45576000000000005,0.9504306981192743,-0.005918557538979963,-0.23074840936852947,False,halfway,bad_send,0,single,2B,87.2,21,line_drive,8,2.3271568890208947,255.94268526344354,3.5009182310223403,25.5,87.2,PIT,10,Bot,-1,"Alexander Canario singles on a line drive to center fielder Jackson Chourio. Spencer Horwitz scores. Alexander Canario to 2nd. Alexander Canario advances to 2nd, on a fielding error by center fielder Jackson Chourio.",https://baseballsavant.mlb.com/sporty-videos?playId=267a8814-8a1a-32ce-887f-cee61ef8bbbf
-0.20964576490498277,0.5041142350950173,0.7137600000000001,0.45576000000000005,0.968421499857428,0.018369024807527667,-0.05531270034143798,False,on_contact,bad_send,0,single,2B,95.6,-26,ground_ball,7,2.4082042350456843,203.04058943216228,3.081937610067424,27.5,83.8,ATH,10,Bot,-1,Tyler Soderstrom singles on a ground ball to left fielder Riley Greene. Brent Rooker scores. Tyler Soderstrom to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=94e78096-0aac-3108-98dc-391fe0ee9122
-0.18682181651134222,0.6638981834886577,0.8507199999999999,0.45576000000000005,0.9866956128483995,0.35177081863867743,-1.4467242296269243,False,halfway,bad_send,1,single,2B-3B,80.5,15,line_drive,9,1.4198239024429233,156.40672729844158,2.5391458181080884,28.1,88.9,LAD,10,Bot,-1,Tommy Edman singles on a line drive to right fielder Jesús Sánchez. Michael Conforto scores. Andy Pages scores.,https://baseballsavant.mlb.com/sporty-videos?playId=9a286451-e2a5-38bf-b737-54d8b2d0da1f
-0.18051370923392962,0.3212862907660704,0.5018,0.11692000000000002,0.9437741702741704,0.2961875505050511,-0.35852842840297505,False,halfway,bad_send,1,single,2B-3B,80.9,17,line_drive,7,1.9767709817260237,212.62668987077478,3.047679313275256,28.2,89.3,TB,9,Bot,-2,Brandon Lowe singles on a line drive to left fielder Cody Bellinger. Chandler Simpson scores. Taylor Walls scores.,https://baseballsavant.mlb.com/sporty-videos?playId=62c3c13a-2813-30ba-9326-f1a953d4084a
-0.16205964686032107,0.12570035313967895,0.28776,0.047799999999999995,0.8974831037507094,0.19883791595728217,-1.0340475439663486,False,hesitated,bad_send,1,single,1B-2B-3B,104.5,14,line_drive,8,1.9071632050447327,254.20772990229892,3.3168537671179505,24.8,93.8,AZ,9,Bot,-3,Pavin Smith singles on a sharp line drive to center fielder Dane Myers. Alek Thomas scores. Jose Herrera scores. Geraldo Perdomo to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=2fcbc058-9f01-3db6-a64f-ba9f293c8db9
-0.15912129382332718,0.25311870617667287,0.41224000000000005,0.11692000000000002,0.9833820095254504,0.03856571285935795,0.22491527767436814,False,on_contact,bad_send,0,single,2B,95.1,0,ground_ball,7,2.3797885426750223,222.95132981658637,3.2736981635707743,28.0,83.9,MIA,11,Bot,-2,Xavier Edwards singles on a ground ball to left fielder Brandon Nimmo. Javier Sanoja scores.,https://baseballsavant.mlb.com/sporty-videos?playId=90dc991e-5f63-39b0-9908-852b94a2989b
-0.1502965779058053,0.5634634220941948,0.7137600000000001,0.45576000000000005,0.9773181596351529,0.030379515507456434,0.01770221722174181,False,halfway,bad_send,0,single,2B,58.8,37,fly_ball,7,2.839736706070495,159.77570011848977,2.6997046415860284,27.6,81.7,CLE,9,Bot,-1,"Brayan Rocchio singles on a line drive to left fielder Randy Arozarena. Nolan Jones scores. Brayan Rocchio to 3rd. Brayan Rocchio advances to 3rd, on a throwing error by left fielder Randy Arozarena.",https://baseballsavant.mlb.com/sporty-videos?playId=dfd0bff0-c7ec-3beb-8287-e42ddd9f09f2
-0.1499785103098008,0.05450148969019919,0.20448,0.047799999999999995,1.0,0.06099999999999994,-1.1775800830188725,False,on_contact,bad_send,0,single,2B,96.1,5,ground_ball,8,1.7504455451859948,119.99999999999997,2.25754138210441,29.1,84.8,TB,10,Bot,-3,Bob Seymour singles on a ground ball to center fielder Trent Grisham. Jake Mangum scores.,https://baseballsavant.mlb.com/sporty-videos?playId=95a2c2f2-44bb-3da2-8476-f8587b964692
